Dst Port,Protocol,Total Fwd Packets,Total Length of Fwd Packets,Average Packet Size,SYN Flag Count,ACK Flag Count,RST Flag Count,FIN Flag Count,Label
80,6,20,1480,74.0,20,0,0,0,DoS-HTTP
80,6,20,1200,60.0,20,0,0,0,DoS-SYN-Flood
80,6,20,1480,74.0,20,0,0,0,DoS-HTTP
13983,6,2,120,,0,0,0,2,Scan Xmas Noel
80,17,20,1200,60.0,0,0,0,0,DoS-UDP
50534,6,4,240,,4,0,0,0,PortScan
41352,6,2,120,,2,0,0,0,PortScan
80,6,20,1200,60.0,20,0,0,0,DoS-SYN-Flood
33087,6,8,464,,8,8,0,0,SSH-Bruteforce
80,6,20,1480,74.0,20,0,0,0,DoS-HTTP
60886,6,20,29080,1454.0,0,20,0,0,BENIGN
46070,6,2,120,,2,0,0,0,PortScan
80,6,20,1200,60.0,20,0,0,0,DoS-SYN-Flood
46552,6,2,120,,0,0,0,2,Scan Xmas Noel
80,6,20,1200,60.0,20,0,0,0,DoS-SYN-Flood
80,6,20,1200,60.0,20,0,0,0,DoS-SYN-Flood
80,6,20,1480,74.0,20,0,0,0,DoS-HTTP
80,6,20,1480,74.0,20,0,0,0,DoS-HTTP
36520,17,20,27980,1399.0,0,0,0,0,BENIGN
80,6,20,1200,60.0,20,0,0,0,DoS-SYN-Flood
4267,6,6,360,,0,0,0,6,Scan Xmas Noel
80,17,20,1200,60.0,0,0,0,0,DoS-UDP
1820,6,2,120,,0,0,0,2,Scan Xmas Noel
9430,6,6,360,,0,0,0,6,Scan Xmas Noel
22,6,20,1200,60.0,20,0,0,0,SSH-Bruteforce
80,17,20,1200,60.0,0,0,0,0,DoS-UDP
33240,6,20,29010,1450.5,0,20,0,0,BENIGN
15777,6,2,120,,0,0,0,2,Scan Xmas Noel
80,6,20,1480,74.0,20,0,0,0,DoS-HTTP
22,6,20,1200,60.0,20,0,0,0,SSH-Bruteforce
939,6,4,240,,4,0,0,0,PortScan
54531,6,4,240,,4,0,0,0,PortScan
80,6,20,1200,60.0,20,0,0,0,DoS-SYN-Flood
80,6,20,1200,60.0,20,0,0,0,DoS-SYN-Flood
41308,17,20,27980,1399.0,0,0,0,0,BENIGN
35363,6,9,522,,9,9,0,0,SSH-Bruteforce
14111,6,6,360,,0,0,0,6,Scan Xmas Noel
80,6,20,1480,74.0,20,0,0,0,DoS-HTTP
64044,6,2,120,,2,0,0,0,PortScan
9479,6,3,174,,3,3,0,0,SSH-Bruteforce
80,6,20,1480,74.0,20,0,0,0,DoS-HTTP
80,17,20,1200,60.0,0,0,0,0,DoS-UDP
80,17,20,1200,60.0,0,0,0,0,DoS-UDP
53278,6,20,29380,1469.0,0,20,0,0,BENIGN
0,1,20,840,42.0,0,0,0,0,DoS-ICMP
61041,6,2,120,,2,0,0,0,PortScan
80,17,20,1200,60.0,0,0,0,0,DoS-UDP
0,1,20,840,42.0,0,0,0,0,DoS-ICMP
0,1,20,1200,60.0,0,0,0,0,DoS-ICMP
24508,6,2,120,,2,0,0,0,PortScan
80,17,20,1200,60.0,0,0,0,0,DoS-UDP
26351,6,6,360,,0,0,0,6,Scan Xmas Noel
0,1,20,1200,60.0,0,0,0,0,DoS-ICMP
0,1,20,1200,60.0,0,0,0,0,DoS-ICMP
50050,6,2,120,,0,0,0,2,Scan Xmas Noel
42574,6,2,120,,2,0,0,0,PortScan
17323,6,6,360,,0,0,0,6,Scan Xmas Noel
33240,6,20,29080,1454.0,0,20,0,0,BENIGN
80,6,20,1200,60.0,20,0,0,0,DoS-SYN-Flood
43259,6,7,406,,7,7,0,0,SSH-Bruteforce
0,1,20,1200,60.0,0,0,0,0,DoS-ICMP
80,17,20,1200,60.0,0,0,0,0,DoS-UDP
80,17,20,1200,60.0,0,0,0,0,DoS-UDP
80,6,20,1200,60.0,20,0,0,0,DoS-SYN-Flood
80,6,20,1200,60.0,20,0,0,0,DoS-SYN-Flood
0,1,20,1200,60.0,0,0,0,0,DoS-ICMP
0,1,20,840,42.0,0,0,0,0,DoS-ICMP
1396,6,4,232,,4,4,0,0,SSH-Bruteforce
1356,6,4,240,,4,0,0,0,PortScan
80,6,20,1200,60.0,20,0,0,0,DoS-SYN-Flood
80,17,20,1200,60.0,0,0,0,0,DoS-UDP
80,6,20,1480,74.0,20,0,0,0,DoS-HTTP
26205,6,2,120,,0,0,0,2,Scan Xmas Noel
42173,6,8,464,,8,8,0,0,SSH-Bruteforce
49015,6,2,120,,0,0,0,2,Scan Xmas Noel
80,6,20,1200,60.0,20,0,0,0,DoS-SYN-Flood
22821,6,10,600,,0,0,0,10,Scan Xmas Noel
6275,6,4,240,,4,0,0,0,PortScan
21945,6,2,120,,2,0,0,0,PortScan
57041,6,6,348,,6,6,0,0,SSH-Bruteforce
80,17,20,1200,60.0,0,0,0,0,DoS-UDP
